0.0000	0.8415	0.9093	0.1411	-0.7568	-0.9589	-0.2794	0.6570	0.9894	0.4121	-0.5440	-1.0000	-0.5366	0.4202	0.9906	0.6503	-0.2879	-0.9614	-0.7510	0.1499	0.9129	0.8367	-0.0089	-0.8462	-0.9056	-0.1324	0.7626	0.9564	0.2709	-0.6636	-0.9880	-0.4040	0.5514	0.9999	0.5291	-0.4282	-0.9918	-0.6435	0.2964	0.9638	0.7451	-0.1586	-0.9165	-0.8318	0.0177	0.8509	0.9018	0.1236	-0.7683	-0.9538	-0.2624	0.6702	0.9866	0.3959	-0.5588	-0.9998	-0.5216	0.4362	0.9929	0.6367	-0.3048	-0.9661	-0.7392	0.1674	0.9200	0.8268	-0.0266	-0.8555	-0.8979	-0.1148	0.7739	0.9511	0.2538	-0.6768	-0.9851	-0.3878	0.5661	0.9995	0.5140	-0.4441	-0.9939	-0.6299	0.3132	0.9684	0.7332	-0.1761	-0.9235	-0.8218	0.0354	0.8601	0.8940	0.1060	-0.7795	-0.9483	-0.2453	0.6833	0.9836	0.3796	-0.5734	-0.9992	-0.5064	0.4520	
0.8415	0.7244	0.6062	0.2770	-0.0571	-0.0988	0.2132	0.6257	0.7952	0.5993	0.2485	0.0917	0.2960	0.6941	0.9389	0.8241	0.4748	0.2337	0.3467	0.7368	1.0752	1.0825	0.7854	0.4902	0.5004	0.8360	1.2135	1.3054	1.0397	0.6652	0.5215	0.7266	1.0679	1.1978	0.9542	0.5105	0.2178	0.2839	0.5846	0.7801	0.6294	0.2142	-0.1348	-0.1405	0.1664	0.4764	0.4854	0.1741	-0.1748	-0.2371	0.0538	0.4452	0.5961	0.3900	0.0409	-0.1049	0.1112	0.5131	0.7498	0.6164	0.2412	-0.0335	0.0330	0.3590	0.6158	0.5319	0.1444	-0.2319	-0.2912	-0.0149	0.3143	0.3743	0.1012	-0.2517	-0.3468	-0.0741	0.3456	0.5616	0.4126	0.0725	-0.1121	0.0574	0.4472	0.7134	0.6175	0.2465	-0.0668	-0.0483	0.2668	0.5680	0.5559	0.2193	-0.1543	-0.2421	0.0176	0.3687	0.4741	0.2279	-0.1401	-0.2587	0.0849	0.8415	
0.9093	0.6029	0.5041	0.4028	0.3299	0.3821	0.5747	0.8028	0.9282	0.9015	0.8063	0.7817	0.8960	1.0847	1.2126	1.2003	1.0991	1.0461	1.1390	1.3472	1.5392	1.6026	1.5457	1.4876	1.5460	1.7260	1.9128	1.9742	1.8794	1.7255	1.6458	1.6867	1.7641	1.7415	1.5565	1.2807	1.0567	0.9710	0.9784	0.9483	0.7888	0.5354	0.3214	0.2579	0.3333	0.4247	0.4108	0.2829	0.1516	0.1441	0.2853	0.4734	0.5717	0.5322	0.4375	0.4223	0.5468	0.7379	0.8535	0.8095	0.6545	0.5228	0.5099	0.5845	0.6193	0.5106	0.2785	0.0533	-0.0382	0.0166	0.1097	0.1160	0.0112	-0.1052	-0.1016	0.0619	0.2932	0.4482	0.4581	0.3871	0.3685	0.4781	0.6610	0.7802	0.7417	0.5814	0.4335	0.4094	0.4978	0.5784	0.5345	0.3633	0.1795	0.1116	0.1839	0.2949	0.3115	0.1940	0.0405	0.0174	0.2626	0.9093	
0.1411	0.2645	0.3879	0.4759	0.5591	0.6821	0.8524	1.0281	1.1538	1.2099	1.2301	1.2709	1.3617	1.4797	1.5742	1.6166	1.6294	1.6683	1.7728	1.9300	2.0864	2.1954	2.2572	2.3158	2.4144	2.5514	2.6778	2.7380	2.7169	2.6507	2.5907	2.5546	2.5095	2.4028	2.2125	1.9708	1.7389	1.5564	1.4110	1.2563	1.0608	0.8426	0.6573	0.5510	0.5197	0.5144	0.4859	0.4291	0.3862	0.4053	0.4943	0.6109	0.6986	0.7359	0.7527	0.7991	0.8952	1.0082	1.0777	1.0667	0.9915	0.9038	0.8414	0.7937	0.7140	0.5667	0.3664	0.1723	0.0422	-0.0121	-0.0281	-0.0517	-0.0912	-0.1080	-0.0530	0.0850	0.2636	0.4193	0.5178	0.5785	0.6487	0.7542	0.8705	0.9422	0.9323	0.8567	0.7714	0.7239	0.7134	0.6956	0.6273	0.5094	0.3889	0.3172	0.3038	0.3080	0.2759	0.1901	0.0860	0.0225	0.0376	0.1411	
-0.7568	-0.0864	0.2849	0.5217	0.7060	0.8821	1.0624	1.2332	1.3732	1.4750	1.5531	1.6317	1.7252	1.8277	1.9226	2.0016	2.0762	2.1700	2.2993	2.4582	2.6237	2.7745	2.9073	3.0355	3.1718	3.3111	3.4298	3.5016	3.5171	3.4878	3.4320	3.3560	3.2472	3.0869	2.8697	2.6131	2.3471	2.0940	1.8558	1.6207	1.3822	1.1525	0.9572	0.8166	0.7301	0.6777	0.6385	0.6083	0.6015	0.6345	0.7078	0.8021	0.8921	0.9664	1.0334	1.1091	1.1971	1.2797	1.3282	1.3237	1.2693	1.1835	1.0814	0.9611	0.8087	0.6166	0.3990	0.1883	0.0168	-0.1028	-0.1784	-0.2239	-0.2406	-0.2142	-0.1284	0.0157	0.1944	0.3744	0.5339	0.6729	0.8031	0.9294	1.0381	1.1054	1.1167	1.0799	1.0202	0.9604	0.9046	0.8394	0.7515	0.6440	0.5377	0.4538	0.3963	0.3481	0.2856	0.1971	0.0853	-0.0544	-0.2770	-0.7568	
-0.9589	-0.1534	0.2903	0.5822	0.8113	1.0164	1.2099	1.3883	1.5436	1.6735	1.7848	1.8892	1.9954	2.1046	2.2138	2.3232	2.4399	2.5749	2.7351	2.9172	3.1099	3.3016	3.4869	3.6663	3.8398	4.0002	4.1327	4.2224	4.2612	4.2503	4.1948	4.0963	3.9506	3.7525	3.5040	3.2176	2.9121	2.6040	2.3019	2.0090	1.7296	1.4742	1.2571	1.0888	0.9697	0.8913	0.8434	0.8218	0.8291	0.8687	0.9377	1.0252	1.1182	1.2086	1.2962	1.3829	1.4653	1.5311	1.5638	1.5511	1.4905	1.3873	1.2475	1.0732	0.8642	0.6250	0.3708	0.1250	-0.0891	-0.2567	-0.3731	-0.4384	-0.4507	-0.4050	-0.2984	-0.1373	0.0609	0.2739	0.4836	0.6805	0.8610	1.0201	1.1476	1.2311	1.2644	1.2519	1.2069	1.1426	1.0657	0.9758	0.8722	0.7599	0.6498	0.5520	0.4685	0.3923	0.3124	0.2200	0.1069	-0.0518	-0.3356	-0.9589	
-0.2794	0.1247	0.4190	0.6645	0.8867	1.0963	1.2953	1.4804	1.6474	1.7953	1.9281	2.0525	2.1750	2.2999	2.4297	2.5678	2.7197	2.8913	3.0855	3.2998	3.5273	3.7598	3.9904	4.2139	4.4247	4.6137	4.7694	4.8802	4.9381	4.9400	4.8854	4.7740	4.6051	4.3796	4.1027	3.7859	3.4444	3.0932	2.7447	2.4088	2.0948	1.8130	1.5738	1.3836	1.2434	1.1487	1.0932	1.0722	1.0830	1.1235	1.1889	1.2713	1.3624	1.4552	1.5457	1.6301	1.7021	1.7512	1.7654	1.7345	1.6538	1.5232	1.3453	1.1240	0.8649	0.5785	0.2813	-0.0060	-0.2621	-0.4704	-0.6202	-0.7051	-0.7215	-0.6676	-0.5458	-0.3652	-0.1411	0.1074	0.3623	0.6094	0.8372	1.0358	1.1947	1.3054	1.3639	1.3733	1.3417	1.2790	1.1933	1.0901	0.9745	0.8530	0.7335	0.6225	0.5222	0.4304	0.3429	0.2566	0.1688	0.0727	-0.0554	-0.2794	
0.6570	0.4954	0.5673	0.7280	0.9200	1.1200	1.3170	1.5043	1.6781	1.8377	1.9856	2.1267	2.2668	2.4112	2.5645	2.7313	2.9164	3.1233	3.3532	3.6037	3.8692	4.1423	4.4153	4.6801	4.9279	5.1487	5.3312	5.4648	5.5411	5.5548	5.5032	5.3853	5.2022	4.9573	4.6581	4.3162	3.9461	3.5630	3.1816	2.8149	2.4748	2.1719	1.9149	1.7088	1.5543	1.4484	1.3857	1.3609	1.3688	1.4045	1.4623	1.5355	1.6171	1.7009	1.7813	1.8523	1.9063	1.9335	1.9235	1.8671	1.7583	1.5949	1.3782	1.1131	0.8080	0.4762	0.1353	-0.1937	-0.4899	-0.7347	-0.9142	-1.0186	-1.0430	-0.9864	-0.8534	-0.6539	-0.4032	-0.1198	0.1774	0.4707	0.7448	0.9858	1.1823	1.3260	1.4133	1.4457	1.4295	1.3731	1.2857	1.1758	1.0515	0.9208	0.7912	0.6687	0.5564	0.4551	0.3650	0.2888	0.2351	0.2267	0.3200	0.6570	
0.9894	0.6159	0.5985	0.7196	0.8928	1.0827	1.2741	1.4596	1.6359	1.8024	1.9615	2.1173	2.2752	2.4406	2.6190	2.8151	3.0329	3.2751	3.5417	3.8299	4.1345	4.4480	4.7617	5.0661	5.3505	5.6037	5.8142	5.9712	6.0660	6.0920	6.0457	5.9263	5.7355	5.4787	5.1645	4.8053	4.4158	4.0121	3.6099	3.2240	2.8674	2.5510	2.2826	2.0664	1.9028	1.7886	1.7187	1.6868	1.6866	1.7117	1.7560	1.8130	1.8767	1.9411	2.0004	2.0479	2.0756	2.0744	2.0343	1.9466	1.8049	1.6061	1.3511	1.0452	0.6981	0.3246	-0.0567	-0.4245	-0.7570	-1.0344	-1.2404	-1.3636	-1.3976	-1.3415	-1.2001	-0.9841	-0.7088	-0.3929	-0.0568	0.2797	0.5980	0.8819	1.1182	1.2975	1.4155	1.4726	1.4738	1.4273	1.3428	1.2304	1.1003	0.9619	0.8235	0.6914	0.5698	0.4613	0.3680	0.2945	0.2534	0.2776	0.4514	0.9894	
0.4121	0.3651	0.4650	0.6222	0.8007	0.9855	1.1697	1.3499	1.5247	1.6946	1.8620	2.0308	2.2060	2.3931	2.5973	2.8231	3.0739	3.3514	3.6549	3.9815	4.3252	4.6785	5.0317	5.3741	5.6940	5.9790	6.2173	6.3975	6.5105	6.5495	6.5106	6.3934	6.2006	5.9385	5.6170	5.2491	4.8502	4.4369	4.0256	3.6318	3.2688	2.9473	2.6745	2.4539	2.2852	2.1648	2.0871	2.0452	2.0320	2.0405	2.0645	2.0978	2.1350	2.1708	2.1994	2.2146	2.2085	2.1725	2.0973	1.9745	1.7976	1.5631	1.2718	0.9290	0.5453	0.1358	-0.2803	-0.6812	-1.0446	-1.3496	-1.5787	-1.7189	-1.7627	-1.7088	-1.5618	-1.3322	-1.0357	-0.6915	-0.3208	0.0544	0.4135	0.7381	1.0130	1.2276	1.3763	1.4585	1.4784	1.4439	1.3650	1.2532	1.1200	0.9760	0.8305	0.6910	0.5623	0.4475	0.3482	0.2662	0.2057	0.1788	0.2186	0.4121	
